Year,Civilian non-institutional population,Total population in labor force,Employed population,Unemployed population
1953,107056000,63015000,61179000,1834000
1954,108321000,63643000,60109000,3532000
1955,109683000,65023000,62170000,2852000
1956,110954000,66552000,63799000,2750000
1957,112265000,66929000,64071000,2859000
1958,113727000,67639000,63036000,4602000
1959,115329000,68369000,64630000,3740000
1960,117245000,69628000,65778000,3852000
1961,118771000,70459000,65746000,4714000
1962,120153000,70614000,66702000,3911000
1963,122416000,71833000,67762000,4070000
1964,124485000,73091000,69305000,3786000
1965,126513000,74455000,71088000,3366000
1966,128058000,75770000,72895000,2875000
1967,129874000,77347000,74372000,2975000
1968,132028000,78737000,75920000,2817000
1969,134335000,80734000,77902000,2832000
1970,137085000,82771000,78678000,4093000
1971,140216000,84382000,79367000,5016000
1972,144126000,87034000,82153000,4882000
1973,147096000,89429000,85064000,4365000
1974,150120000,91949000,86794000,5156000
1975,153153000,93775000,85846000,7929000
1976,156150000,96158000,88752000,7406000
1977,159033000,99009000,92017000,6991000
1978,161910000,102251000,96048000,6202000
1979,164863000,104962000,98824000,6137000
1980,167745000,106940000,99303000,7637000
1981,170130000,108670000,100397000,8273000
1982,172271000,110204000,99526000,10678000
1983,174215000,111550000,100834000,10717000
1984,176383000,113544000,105005000,8539000
1985,178206000,115461000,107150000,8312000
1986,180587000,117834000,109597000,8237000
1987,182753000,119865000,112440000,7425000
1988,184613000,121669000,114968000,6701000
1989,186393000,123869000,117342000,6528000
1990,189164000,125840000,118793000,7047000
1991,190925000,126346000,117718000,8628000
1992,192805000,128105000,118492000,9613000
1993,194838000,129200000,120259000,8940000
1994,196814000,131056000,123060000,7996000
1995,198584000,132304000,124900000,7404000
1996,200591000,133943000,126708000,7236000
1997,203133000,136297000,129558000,6739000
1998,205220000,137673000,131463000,6210000
1999,207753000,139368000,133488000,5880000
2000,212577000,142583000,136891000,5692000
2001,215092000,143734000,136933000,6801000
2002,217570000,144863000,136485000,8378000
2003,221168000,146510000,137736000,8774000
2004,223357000,147401000,139252000,8149000
2005,226082000,149320000,141730000,7591000
2006,228815000,151428000,144427000,7001000
2007,231867000,153124000,146047000,7078000
2008,233788000,154287000,145362000,8924000
2009,235801000,154142000,139877000,14265000
2010,237830000,153889000,139064000,14825000
2011,239618000,153617000,139869000,13747000
2012,243284000,154975000,142469000,12506000
2013,245679000,155389000,143929000,11460000
2014,247947000,155922000,146305000,9617000
2015,250801000,157130000,148834000,8296000
2016,253538000,159187000,151436000,7751000
2017,255079000,160320000,153337000,6982000
2018,257791000,162075000,155761000,6314000
2019,259175000,163539000,157538000,6001000
2020,260329000,160742000,147795000,12947000
2021,261445000,161204000,152581000,8623000
2022,263973000,164287000,158291000,5996000
2023,266942000,167116000,161037000,6080000
